ammenity,location,name,price,type,view,Column1,Cleaned_name,Number of Ammenity
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Near LRT, Near Bus stop",Malaysia,1Month Deposit! Room in SS15 @ Subang Jaya Near LRT Station,RM 520.00,Middle Room,17,Views,1Month Deposit Room in SS15  Subang Jaya Near LRT Station,5
"Washing Machine, Near LRT, Near Bus stop, Swimming Pools, Gymnasium Facility",Selangor,"Master Room at Ara Damansara, Petaling Jaya",RM 980.00,Master Room,142,Views,Master Room at Ara Damansara Petaling Jaya,5
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Cooking Allowed, Share Bathroom, Swimming Pools, Mini Market",Selangor,#NAME?,RM 650.00,Single Room,118,Views,#VALUE!,7
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Share Bathroom, Near Bus stop",Selangor,"💥[Zero Deposit] Available & Ready to Move In Unit💥 Single Room at SS2, Petaling Jaya",RM 390.00,Single Room,204,Views,Zero Deposit Available  Ready to Move In Unit Single Room at SS2 Petaling Jaya,5
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Cooking Allowed, Share Bathroom, Near LRT / MRT, Near Bus stop, Mini Market",Selangor,"❗❗ Zero Deposit ❗❗ 🏠 Single Room For Rent In Bandar Utama, Petaling Jaya 🧹🧺 Weekly Cleaning Provided",RM 559.00,Single Room,21,Views, Zero Deposit   Single Room For Rent In Bandar Utama Petaling Jaya  Weekly Cleaning Provided,8
"Washing Machine, Wifi / Internet Access, Cooking Allowed, TV, Private Bathroom, 24 hours security, Swimming Pools, Gymnasium Facility, Multi-purpose hall, Playground, Covered car park, Mini Market",Selangor,"Single Room at SkyVilla @ D'Island, Puchong",RM 500.00,Single Room,5,Views,Single Room at SkyVilla  DIsland Puchong,12
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Cooking Allowed, TV, Share Bathroom, Near Bus stop, Playground, Surau, Mini Market",Malaysia,Landed Full furnished aircond Middle Room at Sungai Dua included utilities,RM 550.00,Middle Room,11,Views,Landed Full furnished aircond Middle Room at Sungai Dua included utilities,10
"Share Bathroom, Near MRT, Near Bus stop, Surau",Petaling Jaya,"(Low Deposit Package) Palm Spring, Kota Damansara, Middle Room, Near By MRT Surian, Tropicana Garden Mall",RM 580.00,Middle Room,117,Views,Low Deposit Package Palm Spring Kota Damansara Middle Room Near By MRT Surian Tropicana Garden Mall,4
"Near Bus stop, 24 hours security, Swimming Pools, Gymnasium Facility, OKU Friendly, Multi-purpose hall, Playground, Covered car park, Surau, Mini Market",Petaling Jaya,Small Room For Rent in Palm Spring Kota Damansara,RM 470.00,Single Room,70,Views,Small Room For Rent in Palm Spring Kota Damansara,10
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Share Bathroom, Near MRT, Near Train, Near Bus stop, 24 hours security, Surau, Mini Market",Petaling Jaya,(Low Deposit Package) Pelangi Damansara Middle room With Balcony room Near by MRT Mutiara Damansara,RM 550.00,Middle Room,76,Views,Low Deposit Package Pelangi Damansara Middle room With Balcony room Near by MRT Mutiara Damansara,10
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Cooking Allowed, Share Bathroom, Near KTM / LRT, Near KTM, Near Train, Near Bus stop, 24 hours security, Swimming Pools, Multi-purpose hall, Playground, Covered car park, Surau",Petaling Jaya,Exclusive Fully Furnished Medium Room @ Sunway Pjs 7 [Prefer Female],RM 600.00,Middle Room,6,Views,Exclusive Fully Furnished Medium Room  Sunway Pjs 7 Prefer Female,15
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Cooking Allowed, TV, Share Bathroom, Near LRT, Near MRT, 24 hours security, Playground, Mini Market",Kuala Lumpur,"Middle Room at Anjung Hijau, Bukit Jalil",RM 800.00,Middle Room,9,Views,Middle Room at Anjung Hijau Bukit Jalil,11
"Near LRT, Near Train, Near Bus stop, Swimming Pools, Playground, Surau, Mini Market",Petaling Jaya,"(Low Deposit Package) D'Aman Crimson, Ara Damansara Near By LRT Lembah Subang Middle Room",RM 700.00,Middle Room,85,Views,Low Deposit Package DAman Crimson Ara Damansara Near By LRT Lembah Subang Middle Room,7
"Air-Conditioning, Washing Machine, Cooking Allowed, Private Bathroom, Near KTM / LRT, Near LRT / MRT, Near KTM, Near MRT, Near Bus stop, 24 hours security, Playground, Mini Market",Puchong,ZERO DEPOSIT MASTER BEDROOM,RM 700.00,Master Room,2,Views,ZERO DEPOSIT MASTER BEDROOM,12
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Cooking Allowed, Private Bathroom, Near MRT, Near Bus stop, Covered car park, Mini Market",Selangor,"Master Room at Section 17, Petaling Jaya",RM 900.00,Master Room,3,Views,Master Room at Section 17 Petaling Jaya,9
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Cooking Allowed, Share Bathroom, Near KTM / LRT, Near LRT / MRT, Near KTM, Near LRT, Mini Market",Selangor,Room near Taman Bahagia Lrt station,RM 500.00,Single Room,7,Views,Room near Taman Bahagia Lrt station,10
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Cooking Allowed, Share Bathroom, Near KTM / LRT, Near KTM, Near Train, Near Bus stop, 24 hours security, Swimming Pools, Gymnasium Facility, Multi-purpose hall, Playground, Covered car park, Mini Market",Kuala Lumpur,New Female Unit Middle Room At Sentul! Fully Furnished! With Air Cond!,RM 580.00,Middle Room,50,Views,New Female Unit Middle Room At Sentul Fully Furnished With Air Cond,16
"Air-Conditioning, Wifi / Internet Access, Near LRT, Near Bus stop",Selangor,room for rent ss15,RM 450.00,Middle Room,144,Views,room for rent ss15,4
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Cooking Allowed, Share Bathroom, Near MRT, Near Bus stop, 24 hours security, Swimming Pools, Gymnasium Facility, Multi-purpose hall, Playground, Surau, Mini Market",Selangor,"Middle Room at Kota Damansara, Petaling Jaya",RM 630.00,Middle Room,150,Views,Middle Room at Kota Damansara Petaling Jaya,14
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Share Bathroom, Near KTM / LRT, Near LRT / MRT, Near LRT, Near Bus stop",Selangor,"Private XXL Room at SS2, Petaling Jaya | Near by LRT Taman Paramount | Sea Park | Room Able to fit in 2 -3 person |",RM 650.00,Middle Room,141,Views,Private XXL Room at SS2 Petaling Jaya  Near by LRT Taman Paramount  Sea Park  Room Able to fit in 2 3 person ,8
,Johor,"Zero deposit ❗️❗️Master Room at D pristine , Iskandar Puteri",RM 700.00,Master Room,475,Views,Zero deposit Master Room at D pristine  Iskandar Puteri,0
"Air-Conditioning, Wifi / Internet Access, Cooking Allowed, Near LRT / MRT",Malaysia,"✨ Single Room at SS24 Petaling Jaya, Selangor Nearby Plaza Mayang / LRT Kelana Jaya ✨",RM 390.00,Single Room,141,Views, Single Room at SS24 Petaling Jaya Selangor Nearby Plaza Mayang  LRT Kelana Jaya ,4
"Air-Conditioning, Wifi / Internet Access, Private Bathroom, 24 hours security",Selangor,"Master Room with private bathroom at Setia Alam, Shah Alam",RM 740.00,Master Room,354,Views,Master Room with private bathroom at Setia Alam Shah Alam,4
"Washing Machine, Wifi / Internet Access, Near KTM / LRT, Near MRT, Near Bus stop, Surau",Selangor,ROOM FOR RENT at Bandar Utama- Petaling Jaya✨ WALKING DISTANCE TO ONE UTAMA- CENTREPOINT- MRT BANDAR UTAMA✨,RM 500.00,Single Room,188,Views,ROOM FOR RENT at Bandar Utama Petaling Jaya WALKING DISTANCE TO ONE UTAMA CENTREPOINT MRT BANDAR UTAMA,6
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Cooking Allowed, Share Bathroom, Near KTM, 24 hours security, Swimming Pools, Gymnasium Facility, Playground, Mini Market",Selangor,"-0 Deposit Move In-Fully Furnished Original Middle Room at Astetica Residences, Seri Kembangan",RM 699.00,Middle Room,61,Views,0 Deposit Move InFully Furnished Original Middle Room at Astetica Residences Seri Kembangan,11
"Washing Machine, Wifi / Internet Access, Cooking Allowed, Share Bathroom, Near MRT, Near Bus stop, 24 hours security, Swimming Pools, Gymnasium Facility, OKU Friendly, Multi-purpose hall, Playground, Covered car park, Surau, Mini Market",Selangor,"-Low Deposit Package🔥 - Middle Rooms at Palm Spring, Kota Damansara, near MRT Surian, Mutiara Damansara",RM 600.00,Middle Room,273,Views,Low Deposit Package  Middle Rooms at Palm Spring Kota Damansara near MRT Surian Mutiara Damansara,15
"Washing Machine, Cooking Allowed, Share Bathroom, Near LRT, Near Bus stop, 24 hours security, Swimming Pools, Gymnasium Facility, Multi-purpose hall, Playground, Mini Market",Kuala Lumpur,"Single Room at Sky Awani Residensi, Sentul near Public Transport",RM 500.00,Single Room,18,Views,Single Room at Sky Awani Residensi Sentul near Public Transport,11
"Air-Conditioning, Washing Machine, Near MRT, Near Bus stop, Swimming Pools, Gymnasium Facility",Petaling Jaya,"Middle Room at Palm Spring, Kota Damansara",RM 630.00,Middle Room,43,Views,Middle Room at Palm Spring Kota Damansara,6
"Air-Conditioning, Washing Machine, Cooking Allowed, Private Bathroom, Near KTM / LRT, Near LRT / MRT, Near KTM, Near LRT, Near MRT, Near Train, Near Bus stop, 24 hours security, Playground, Mini Market",Puchong,ZERO DEPOSIT MASTER BEDROOM,RM 700.00,Master Room,1,Views,ZERO DEPOSIT MASTER BEDROOM,14
"Washing Machine, Wifi / Internet Access, Share Bathroom, Near LRT, Near Bus stop, 24 hours security, Swimming Pools, Gymnasium Facility, Multi-purpose hall, Mini Market",Kuala Lumpur,"Single Room at The Z Residence, Bukit Jalil",RM 550.00,Single Room,12,Views,Single Room at The Z Residence Bukit Jalil,10
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Cooking Allowed, Private Bathroom, Near MRT, Near Bus stop",Kuala Lumpur,Taman Pertama MRT Master Room near Sunway Velocity KL Central TRX KL City Centre,RM 920.00,Master Room,363,Views,Taman Pertama MRT Master Room near Sunway Velocity KL Central TRX KL City Centre,7
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Cooking Allowed, Private Bathroom, Near KTM / LRT, Near Bus stop, Covered car park",Malaysia,"Wawasan 2 Puchong (Near Setiawalk, IOI mall, Bandar Puteri, Tesco, own carpark)",RM 650.00,Single Room,3,Views,Wawasan 2 Puchong Near Setiawalk IOI mall Bandar Puteri Tesco own carpark,8
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Cooking Allowed, Share Bathroom, Near MRT, Near Bus stop, 24 hours security, Swimming Pools, Gymnasium Facility, OKU Friendly, Multi-purpose hall, Playground, Covered car park, Surau, Mini Market",Petaling Jaya,"Female Only Single Room at Casa Residenza, Kota Damansara",RM 500.00,Single Room,276,Views,Female Only Single Room at Casa Residenza Kota Damansara,16
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Cooking Allowed, Share Bathroom, Near LRT, Near MRT, Near Train, Near Bus stop, 24 hours security, Swimming Pools, Gymnasium Facility, Multi-purpose hall, Playground, Covered car park, Mini Market",Kuala Lumpur,"💥Include Utility, Medium Room at Bukit Jalil",RM 650.00,Middle Room,8,Views,Include Utility Medium Room at Bukit Jalil,16
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Share Bathroom, Near KTM / LRT, Near KTM",Selangor,🚄🚅🚈Room Near by Bandar Utama With Low Depo 🚶‍♂️Walking Distance To MRT Bandar Utama🚈🚅🚄,RM 500.00,Single Room,52,Views,Room Near by Bandar Utama With Low Depo Walking Distance To MRT Bandar Utama,6
"Washing Machine, Cooking Allowed, Share Bathroom, Playground, Covered car park",Malaysia,"Middle Room at Tapah, Perak",RM 200.00,Middle Room,7,Views,Middle Room at Tapah Perak,5
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Share Bathroom, 24 hours security, Covered car park, Mini Market",Selangor,💥[Zero Deposit] Available & Ready to Move In Unit💥,RM 580.00,Middle Room,40,Views,Zero Deposit Available  Ready to Move In Unit,7
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Near KTM / LRT, Near LRT, Covered car park",Selangor,"Middle Room at SS14, Subang Jaya/ Walking distance to LRT station",RM 530.00,Middle Room,51,Views,Middle Room at SS14 Subang Jaya Walking distance to LRT station,6
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Share Bathroom, Near KTM / LRT, Near KTM, Near Train, 24 hours security, Swimming Pools, Gymnasium Facility, OKU Friendly, Multi-purpose hall, Playground, Mini Market",Selangor,"(Zero Deposit Package) New Condo Astetica Residences, Seri Kembangan, All New Original Single room",RM 580.00,Single Room,70,Views,Zero Deposit Package New Condo Astetica Residences Seri Kembangan All New Original Single room,14
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Share Bathroom",Selangor,"Cozy Single Room at Setia Perdana, Seksyen U13 near Top Glove & SCM",RM 510.00,Single Room,8,Views,Cozy Single Room at Setia Perdana Seksyen U13 near Top Glove  SCM,4
"Air-Conditioning, Wifi / Internet Access, Cooking Allowed",Selangor,"Comfort Zero deposit!! Room for rent Located Kota Kemuninng, Shah Alam",RM 540.00,Middle Room,92,Views,Comfort Zero deposit Room for rent Located Kota Kemuninng Shah Alam,3
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Cooking Allowed, Private Bathroom, Near LRT / MRT, Near Train, Near Bus stop, 24 hours security, Covered car park",Selangor,ZERO DEPOSIT - MASTER ROOM for Rent at KD HOTEL @ KOTA DAMANSARA -  800m WALKING DISTANCE TO SURIAN MRT,RM 720.00,Master Room,48,Views,ZERO DEPOSIT  MASTER ROOM for Rent at KD HOTEL  KOTA DAMANSARA   800m WALKING DISTANCE TO SURIAN MRT,10
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Cooking Allowed, Share Bathroom, Near Train, Near Bus stop, Covered car park, Mini Market",Selangor,PJS 11/06 - Nice Middle Room For Rent [Weekly Cleaner+100mbps Wifi],RM 600.00,Middle Room,3,Views,PJS 1106  Nice Middle Room For Rent Weekly Cleaner100mbps Wifi,9
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Cooking Allowed, Private Bathroom, Near KTM / LRT",Petaling Jaya,"🔥Master Room at Kelana Jaya 🚶Walking distance to kelana jaya lrt 🚈Easy Access to Dataran Prima, Sunway Mas, Paradigm Mall, Aman Suria",RM 780.00,Master Room,417,Views,Master Room at Kelana Jaya Walking distance to kelana jaya lrt Easy Access to Dataran Prima Sunway Mas Paradigm Mall Aman Suria,6
"Air-Conditioning, Washing Machine, Cooking Allowed, TV, Private Bathroom, 24 hours security, Swimming Pools, Gymnasium Facility, OKU Friendly, Multi-purpose hall, Playground, Covered car park, Surau, Mini Market",Johor Bahru,"Studio at Medini, Iskandar Puteri","RM 1,100.00",Studio,477,Views,Studio at Medini Iskandar Puteri,14
"Air-Conditioning, Wifi / Internet Access, Cooking Allowed, Near LRT, Near Bus stop",KL City Centre,"Regalia Rooftop Pool KL City, No Deposit, Near LRT, Sunway Putra Mall",RM 650.00,Middle Room,171,Views,Regalia Rooftop Pool KL City No Deposit Near LRT Sunway Putra Mall,5
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Share Bathroom, Near LRT, Near Train, 24 hours security, Gymnasium Facility",Petaling Jaya,"(Low Deposit Package) D'Aman Crimson Fully Furnish Balcony Middle Room, Near By LRT Lembah Subang",RM 680.00,Middle Room,26,Views,Low Deposit Package DAman Crimson Fully Furnish Balcony Middle Room Near By LRT Lembah Subang,8
"Cooking Allowed, Near Bus stop, Mini Market",Malaysia,Single & Medium Room For Rent In Klang,RM 400.00,Single Room,73,Views,Single  Medium Room For Rent In Klang,3
"Washing Machine, Wifi / Internet Access, Share Bathroom, Near MRT, Near Bus stop, 24 hours security, Swimming Pools, Gymnasium Facility, Mini Market",Petaling Jaya,"Casa Residenza Near by Segi University, MRT Kota Damansara, Fully Furnish",RM 600.00,Single Room,15,Views,Casa Residenza Near by Segi University MRT Kota Damansara Fully Furnish,9
"Washing Machine, Wifi / Internet Access, Share Bathroom",Kuala Lumpur,"Sri Putramas I, Jalan Dutamas Middle Room For Rent",RM 680.00,Middle Room,106,Views,Sri Putramas I Jalan Dutamas Middle Room For Rent,3
"Washing Machine, Wifi / Internet Access, Cooking Allowed, TV, Share Bathroom, Near MRT, Near Bus stop, 24 hours security, Swimming Pools, Gymnasium Facility, OKU Friendly, Multi-purpose hall, Playground, Covered car park, Surau, Mini Market",Petaling Jaya,"Cova Suite - Single Room With Aircond & Window At Cova Suites, Kota Damansara",RM 560.00,Single Room,432,Views,Cova Suite  Single Room With Aircond  Window At Cova Suites Kota Damansara,16
"Washing Machine, Share Bathroom, 24 hours security, Gymnasium Facility, Multi-purpose hall",Selangor,"Middle room at Eco Majestic @ Cradleton, Semenyih",RM 470.00,Middle Room,208,Views,Middle room at Eco Majestic  Cradleton Semenyih,5
"Washing Machine, Wifi / Internet Access, Share Bathroom",Petaling Jaya,"PJS 7, Bandar Sunway Near By Taylor University, Sunway Single room",RM 550.00,Single Room,115,Views,PJS 7 Bandar Sunway Near By Taylor University Sunway Single room,3
"Cooking Allowed, TV, Share Bathroom, Near KTM / LRT, Near KTM, Near Bus stop, Playground, Surau, Mini Market",Selangor,"Middle Room at Taman Salak Perdana, Sepang",RM 350.00,Middle Room,10,Views,Middle Room at Taman Salak Perdana Sepang,9
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Cooking Allowed, Private Bathroom, Near KTM / LRT, Near LRT / MRT, Near LRT, Near MRT, Near Bus stop, 24 hours security, Swimming Pools, Gymnasium Facility, OKU Friendly, Multi-purpose hall, Playground, Covered car park, Surau, Mini Market",Kuala Lumpur,Master Bedroom Rental of Warisan City View Taman Maluri MRT and LRT station,RM 950.00,Master Room,62,Views,Master Bedroom Rental of Warisan City View Taman Maluri MRT and LRT station,19
"Share Bathroom, Surau",Petaling Jaya,"Two Single Bed room at SuriaMas, Bandar Sunway, Near BRT",RM 700.00,Middle Room,128,Views,Two Single Bed room at SuriaMas Bandar Sunway Near BRT,2
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Cooking Allowed, Private Bathroom, Near LRT / MRT, Near MRT, Near Bus stop, 24 hours security, Swimming Pools, Gymnasium Facility, OKU Friendly, Multi-purpose hall, Playground, Covered car park, Surau, Mini Market",Petaling Jaya,Master Room For Rent in Palm Spring Kota Damansara,RM 660.00,Master Room,49,Views,Master Room For Rent in Palm Spring Kota Damansara,17
"Share Bathroom, Near MRT, Near Bus stop, Playground, Surau",Selangor,"(Zero Deposit Package) D'Alpinia Puchong Near By 16Sierra, Putrajaya, CyberJaya Middle room with single bed",RM 650.00,Middle Room,73,Views,Zero Deposit Package DAlpinia Puchong Near By 16Sierra Putrajaya CyberJaya Middle room with single bed,5
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Share Bathroom, Near LRT, 24 hours security, Swimming Pools, Gymnasium Facility, OKU Friendly",Petaling Jaya,"(Low Depsoit Package) Pacific Place, Ara Damansara Near By LRT Ara Damansara, Evolve Mall, Citta Mall",RM 600.00,Single Room,34,Views,Low Depsoit Package Pacific Place Ara Damansara Near By LRT Ara Damansara Evolve Mall Citta Mall,9
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Cooking Allowed, Share Bathroom, Near KTM / LRT, Near LRT, Near MRT, Near Train, Near Bus stop, 24 hours security, Swimming Pools, Gymnasium Facility, Covered car park",Kuala Lumpur,"🔥10mins to KLCC🔥 Fully Furnished Master Room (Premium) at GCB Court, Jalan Ampang,KL","RM 1,350.00",Master Room,32,Views,10mins to KLCC Fully Furnished Master Room Premium at GCB Court Jalan AmpangKL,14
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Cooking Allowed, Share Bathroom, Near LRT, Near Bus stop, Playground",Petaling Jaya,"🔰 5mins walk to LRT Kelana Jaya 🔰Fully Furnished Single Room Equipped with Basic Facilities, High Speed Wifi, Utilities Included 📣📣",RM 500.00,Single Room,9,Views, 5mins walk to LRT Kelana Jaya Fully Furnished Single Room Equipped with Basic Facilities High Speed Wifi Utilities Included ,8
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Near LRT, Near Bus stop, 24 hours security, Swimming Pools, Gymnasium Facility, OKU Friendly, Multi-purpose hall, Playground, Covered car park, Surau, Mini Market",Kuala Lumpur,ZERO deposite FULLY furnish can move in immediately,RM 700.00,Single Room,664,Views,ZERO deposite FULLY furnish can move in immediately,14
"Washing Machine, Wifi / Internet Access, Cooking Allowed, Share Bathroom, Near Bus stop, Mini Market",Selangor,"Single Room at SS2, Petaling Jaya",RM 550.00,Single Room,42,Views,Single Room at SS2 Petaling Jaya,6
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Share Bathroom, Private Bathroom, Near MRT, Near Bus stop, 24 hours security, Playground, Covered car park, Mini Market",Selangor,ZERO DEPOSIT ATTACHED SHARING ROOM,RM 600.00,Middle Room,66,Views,ZERO DEPOSIT ATTACHED SHARING ROOM,11
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Cooking Allowed, Share Bathroom, Mini Market",Selangor,"🎷🎷🎷Room at Jalan Tempua , Bandar Puchong Jaya Ready To Move In.📸📸📸",RM 500.00,Single Room,53,Views,Room at Jalan Tempua  Bandar Puchong Jaya Ready To Move In.,6
"Washing Machine, Wifi / Internet Access, Cooking Allowed, Share Bathroom, Near KTM / LRT, Near LRT / MRT, Near LRT, 24 hours security, Covered car park",Selangor,❗Female Unit Price Reduce Only RM540 in SS15❗ Fully Furnished and Free Wifi  📍❗,RM 540.00,Middle Room,53,Views,Female Unit Price Reduce Only RM540 in SS15 Fully Furnished and Free Wifi  ,9
"Air-Conditioning, Washing Machine, Wifi / Internet Access",Selangor,"No Deposit 💥 Middle Room at SS2, Petaling Jaya Easy Access Sea Park / Taman Paramount 🚇",RM 520.00,Middle Room,97,Views,No Deposit  Middle Room at SS2 Petaling Jaya Easy Access Sea Park  Taman Paramount ,3
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Cooking Allowed, Share Bathroom, Near LRT / MRT, Near MRT, Near Bus stop, 24 hours security, Swimming Pools, Gymnasium Facility, OKU Friendly, Multi-purpose hall, Playground, Covered car park, Surau, Mini Market",Selangor,"Middle Room With A/c And Window At Kota Damansara, Petaling Jaya",RM 640.00,Middle Room,417,Views,Middle Room With Ac And Window At Kota Damansara Petaling Jaya,17
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Cooking Allowed, Share Bathroom, Near KTM / LRT, Near KTM, Near Train, 24 hours security, Swimming Pools, Gymnasium Facility, Playground, Surau",Selangor,Medium Room with Balcony in Astetica Residence,RM 750.00,Middle Room,25,Views,Medium Room with Balcony in Astetica Residence,13
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Cooking Allowed, Share Bathroom, Near Bus stop, Mini Market",Selangor,"🔰 Fully Furnished Single Room 🔰 5 mins walk to Damansara Uptown📣📣 Fully Furnished, High Speed Wifi, & Utilities Included",RM 500.00,Single Room,31,Views, Fully Furnished Single Room  5 mins walk to Damansara Uptown Fully Furnished High Speed Wifi  Utilities Included,7
"Air-Conditioning, Wifi / Internet Access, Share Bathroom, Near LRT / MRT, Near MRT, Near Bus stop",Petaling Jaya,"Single Room at Palm Spring, Kota Damansara",RM 600.00,Studio,243,Views,Single Room at Palm Spring Kota Damansara,6
"Air-Conditioning, Washing Machine, Cooking Allowed, Private Bathroom, Near KTM / LRT, Near LRT / MRT, Near KTM, Near LRT, Near MRT, Near Train, Near Bus stop, 24 hours security, Playground, Mini Market",Puchong,ZERO DEPOSIT MASTER BEDROOM,RM 700.00,Master Room,3,Views,ZERO DEPOSIT MASTER BEDROOM,14
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Cooking Allowed, Share Bathroom, Near KTM / LRT, Near LRT / MRT, Near KTM, Near LRT, Near MRT, Near Train, Near Bus stop, 24 hours security, Swimming Pools, Gymnasium Facility, Mini Market",Kuala Lumpur,"Middle Room at Amaya Maluri, Cheras",RM 700.00,Middle Room,72,Views,Middle Room at Amaya Maluri Cheras,16
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Cooking Allowed, Share Bathroom, Near LRT, Near MRT, Near Train, Near Bus stop, 24 hours security, Swimming Pools, Gymnasium Facility, Multi-purpose hall, Playground, Covered car park, Surau, Mini Market",Malaysia,"👉5min walk to LRT, Medium Room at Bukit Jalil",RM 650.00,Middle Room,5,Views,5min walk to LRT Medium Room at Bukit Jalil,17
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Cooking Allowed, Share Bathroom, Near LRT, Near Bus stop, Playground",Petaling Jaya,"🔰 5mins walk to LRT Kelana Jaya 🔰Fully Furnished Single Room Equipped with Basic Facilities, High Speed Wifi, Utilities Included 📣📣",RM 550.00,Single Room,11,Views, 5mins walk to LRT Kelana Jaya Fully Furnished Single Room Equipped with Basic Facilities High Speed Wifi Utilities Included ,8
"Washing Machine, Wifi / Internet Access, Cooking Allowed, Near LRT / MRT, Near KTM, Near Bus stop, 24 hours security, Swimming Pools, Multi-purpose hall, Playground",Selangor,Single Room walking distance to UTAR,RM 450.00,Single Room,120,Views,Single Room walking distance to UTAR,10
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Cooking Allowed, Share Bathroom, Near Train, Near Bus stop, Covered car park, Mini Market",Selangor,PJS11/06 - Newly Renovated Room For Rent [Double Storey Landed House+300mbps Wifi],RM 500.00,Single Room,6,Views,PJS1106  Newly Renovated Room For Rent Double Storey Landed House300mbps Wifi,9
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Share Bathroom, Near KTM, Near Bus stop, 24 hours security, Swimming Pools, Gymnasium Facility, OKU Friendly, Playground",Selangor,"(Low Deposit Package) Astetica Residences, Balcony Middle Room Near By UPM, South City",RM 700.00,Middle Room,16,Views,Low Deposit Package Astetica Residences Balcony Middle Room Near By UPM South City,11
Share Bathroom,Petaling Jaya,"Single Room at The Strand, Kota Damansara",RM 580.00,Single Room,144,Views,Single Room at The Strand Kota Damansara,1
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Share Bathroom, Near Bus stop, Mini Market",Selangor,"✨Easy access to highways!! Corner lot Big Room, walking distance to shops and public transport!",RM 700.00,Middle Room,62,Views,Easy access to highways Corner lot Big Room walking distance to shops and public transport,6
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Cooking Allowed",Subang Jaya,"⚡ Low Deposit ⚡Middle Room at USJ 11,UEP Subang Jaya.",RM 490.00,Middle Room,214,Views, Low Deposit Middle Room at USJ 11UEP Subang Jaya.,4
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Cooking Allowed, Share Bathroom, Near LRT, Near Train, Near Bus stop, 24 hours security, Swimming Pools, Gymnasium Facility, OKU Friendly, Multi-purpose hall, Playground, Covered car park, Surau, Mini Market",Petaling Jaya,"Low Deposit Package👍 Single Room for Rent at Pacific Place, Ara Damansara",RM 650.00,Single Room,16,Views,Low Deposit Package Single Room for Rent at Pacific Place Ara Damansara,17
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Cooking Allowed, Share Bathroom, Near MRT, Near Bus stop, 24 hours security, Swimming Pools, Gymnasium Facility, Playground, Surau, Mini Market",Petaling Jaya,"Single Room at Palm Spring, Kota Damansara",RM 450.00,Single Room,46,Views,Single Room at Palm Spring Kota Damansara,13
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Cooking Allowed, Share Bathroom, Near LRT, Near Bus stop, Playground",Petaling Jaya,"🔥 5mins walk to LRT Kelana Jaya 🔥 Fully Furnished Single Room for Rent, Short Term Available, Low Deposit, High Speed Wifi, Utilities Included 📣📣",RM 500.00,Single Room,6,Views, 5mins walk to LRT Kelana Jaya  Fully Furnished Single Room for Rent Short Term Available Low Deposit High Speed Wifi Utilities Included ,8
