ammenity,location,name,price,type,view,Column1,Cleaned_name,Number of Ammenity
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Cooking Allowed, Near KTM, Near Train, Near Bus stop, 24 hours security, Swimming Pools, Gymnasium Facility, Playground, Covered car park, Mini Market",Selangor,"Single Room at Astetica Residences, Seri Kembangan Fully Furnished Newly Renovated Walking Distance to KTM",RM 650.00,Single Room,135,Views,Single Room at Astetica Residences Seri Kembangan Fully Furnished Newly Renovated Walking Distance to KTM,13
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Cooking Allowed, Share Bathroom, Near MRT, 24 hours security, Mini Market",Petaling Jaya,"0 Deposit Fully Furnished Middle Room With Aircond Window at Palm Spring, Kota Damansara",RM 599.00,Middle Room,58,Views,0 Deposit Fully Furnished Middle Room With Aircond Window at Palm Spring Kota Damansara,8
"Washing Machine, Wifi / Internet Access, Cooking Allowed, Share Bathroom, Near MRT, 24 hours security",Petaling Jaya,"Single Room at BU1, Bandar Utama",RM 480.00,Single Room,83,Views,Single Room at BU1 Bandar Utama,6
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Cooking Allowed, Share Bathroom, Near Bus stop, 24 hours security, Swimming Pools, Gymnasium Facility, OKU Friendly, Multi-purpose hall, Playground, Covered car park, Surau, Mini Market",Kuala Lumpur,"Middle Room at Sri Putramas I, Dutamas Fully Furnished Newly Renovated Near Solari Mont Kiara",RM 680.00,Middle Room,32,Views,Middle Room at Sri Putramas I Dutamas Fully Furnished Newly Renovated Near Solari Mont Kiara,15
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Cooking Allowed, Private Bathroom, Near Bus stop, Playground, Covered car park",Selangor,Master Bedroom At SS2 Petaling Jaya For Female Only,RM 770.00,Master Room,20,Views,Master Bedroom At SS2 Petaling Jaya For Female Only,8
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Cooking Allowed, TV, Share Bathroom, Private Bathroom, Near KTM / LRT, Near LRT / MRT, Near LRT, Near MRT, Near Train, Near Bus stop, 24 hours security, Swimming Pools, Gymnasium Facility, Multi-purpose hall, Playground, Covered car park, Surau, Mini Market",Selangor,"Single Room at Pinggiran USJ 1, Subang Jaya",RM 580.00,Single Room,2,Views,Single Room at Pinggiran USJ 1 Subang Jaya,21
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Cooking Allowed, TV, Private Bathroom, Near KTM, Near Train, Near Bus stop, 24 hours security, Swimming Pools, Gymnasium Facility, Multi-purpose hall, Covered car park, Mini Market",Petaling Jaya,"Master Room at SuriaMas, Bandar Sunway",RM 800.00,Master Room,1,Views,Master Room at SuriaMas Bandar Sunway,15
"Air-Conditioning, Wifi / Internet Access, Near LRT, Near Bus stop",Selangor,Female Unit 🔴 Can Walking distance to IOI Mall Puchong,RM 550.00,Middle Room,136,Views,Female Unit  Can Walking distance to IOI Mall Puchong,4
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Share Bathroom, Near LRT, Near Bus stop",Selangor,Female Unit 🔴 Can Walking distance to IOI Mall Puchong,RM 550.00,Middle Room,131,Views,Female Unit  Can Walking distance to IOI Mall Puchong,6
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Near Bus stop, 24 hours security, Swimming Pools, Gymnasium Facility, Multi-purpose hall, Playground, Covered car park, Mini Market",Selangor,"New Condo 🌈 Middle Room at Union Suites, Bandar Sunway",RM 900.00,Middle Room,533,Views,New Condo  Middle Room at Union Suites Bandar Sunway,11
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Cooking Allowed, Share Bathroom, Near KTM / LRT, Near LRT / MRT, Near KTM, Near LRT, Near Bus stop, 24 hours security, Swimming Pools, OKU Friendly, Multi-purpose hall, Playground, Surau, Mini Market",Petaling Jaya,Zero Deposit. Partition Middle Room Mentari Court Bandar Sunway,RM 400.00,Middle Room,1,Views,Zero Deposit. Partition Middle Room Mentari Court Bandar Sunway,17
"Washing Machine, Wifi / Internet Access, Cooking Allowed",Malaysia,🧸ibilikPreferred Zero Deposit Fully Furnished Medium Room,RM 850.00,Middle Room,81,Views,ibilikPreferred Zero Deposit Fully Furnished Medium Room,3
"Washing Machine, Wifi / Internet Access, Share Bathroom, Near LRT, Near Train, Near Bus stop, 24 hours security, Mini Market",Petaling Jaya,ZERO DEPOSIT🔥ARA DAMANSARA🏠SINGLE ROOM,RM 430.00,Single Room,73,Views,ZERO DEPOSITARA DAMANSARASINGLE ROOM,8
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Cooking Allowed, Near LRT, 24 hours security, Covered car park, Mini Market",Malaysia,Low Deposit /No Deposit fully/ partial furnished cozy aircond room in PJ ss 2/ Damansara Jaya/TTDI /Bandar Utama,RM 700.00,Middle Room,104,Views,Low Deposit No Deposit fully partial furnished cozy aircond room in PJ ss 2 Damansara JayaTTDI Bandar Utama,8
